latitude,longitude,message
38.030426, -84.499457,"Balling on the Blue Courts"
38.037904, -84.510936,"Hoops on Prall Street"
38.035001, -84.490241,"Windmills at Woodland Park"
38.045184, -84.514094,"Winning at the Wyatt"
38.01454739374256, -84.50084393546375,"UKY Arboretum"
38.03504154620572, -84.49160037503502, "Woodland Park"
38.05459882915138, -84.52791746420168, "McConnell Springs Park"
38.032495322887414, -84.50139208831254, "William T. Young Library"
38.032502, -84.502085, "the area next to starbucks at willy t library"
38.040573, -84.503214, "the dance room at the alumni gym"
38.041502, -84.490170, "the trees at throughbred park"
38.042432, -84.504046, "the booth in the corner at raising canes"
38.038093,-84.503872,"Geography, Y'all!"
38.03292,-84.50973,"The Helpful Staircase" 
38.04887,-84.50085,"The Rump Foundation" 
38.03913,-84.50315,"The Shady Table" 
38.027448,-84.498537,"Ultimate Team"
38.039484,-84.504790,"Walker's Street"
38.027646,-84.503096,"Sit N Music"
38.030300,-84.499462,"B BALL"
38.041880, -84.486190, "Thoroughbred park A Place for horse and art lovers!" 
38.0553697, -84.5176479, "The perfect place for great pizza and qualtiy time with friends and family"
38.040353, -84.516857, "Red Mile Gaming and Racing Fun for the horse lover and the bettor" 
38.020661, -84.507224, "Nature in the city!"
38.015099956405756, -84.46800715504253, "Henry Clay Fields"
38.029285111730566, -84.50106232540399, "Baldwin Field"
38.02382744471401, -84.50243133375977, "UK Football Tailgate"
38.02910971079129, -84.48097901623912, "Henry Clay Estate Trails"
38.031748, -84.499333, "Ball Hall Bike Rack".
38.032941, -84.504254, "Don and Cathy Jacob's Bike Rack"
38.040159, -84.507344, "Taylor Ed Bike Rack"
38.038626, -84.503910, "White Hall Bike Rack"
38.036473,-84.505974,"Study Haven"
38.040149,-84.503123,"The Infamous Social Area"
38.036833,-84.506894,"The Inspirational Benches"
38.040541,-84.501107,"The Quiet Place @ Jewell Hall"
38.039709, -84.506211, "Let's sit and chill @ UK Steps"
38.049435, -84.501878, " Basketball time @ Rupp Arena"
38.031262, -84.501839, " Good place to grab a bite @ Papa Johns"
38.043058, -84.503274, " Fantastic spot to stay and chill @ The Hub"
38.038093,-84.503872,"Geography, Y'all!"
38.040076, -84.503283, "Where I met my 'sisters'"
38.027066, -84.503029, "The most fun game ever, pickle ball!"
38.029303, -84.490559, "The best place to laugh and cry with your BFFs"
38.041175,-84.500655,"Blazer Hall" 
38.039988,-84.502688,"That one table outside of starbucks"
38.038315,-84.506435,"A couch in the Buisness Building"
38.028436,-84.500795,"Ingels Hall"
38.040430,-84.501322,"The Study North"
38.029142,-84.502487,"Lawn behind the 90"
38.036632,-84.506113,"Colorful Lawn Chairs"
38.037065883565596, -84.515900860647, "JALAPENO'S RESTURANT, VERY GOOD MEXICAN FOOD"
38.005988545870196, -84.52157893007748, "PET SUPERMARKET, HAS CUTE PETS"
38.047545459408035, -84.50284200782971, "LEX LIVE, BEST MOVIE THEATER IN TOWN"
38.0480425865671, -84.49813586660605, "FARMERS MARKET LOCATION, EVERY WEEKEND"
38.038979,-84.475144,"Best place for Jiu Jitsu in Lexington!"
38.033825,-84.505794,"Comfiest chair in the Don and Cathy Jacobs Science Building."
